,Period,Day,W0_V_out,W0_V_in,W0_T_set_inj,W0_T_mf_out,W1_V_out,W1_V_in,W1_T_set_inj,W1_T_mf_out
0,0.0,30.0,-25530.0,0.0,17.0,11.999967575073242,0.0,25530.0,5.0,5.026002883911133
1,1.0,60.0,-22110.0,0.0,17.0,11.999964714050293,0.0,22110.0,5.0,5.012622833251953
2,2.0,90.0,-12750.0,0.0,17.0,11.999971389770508,0.0,12750.0,5.0,5.017402172088623
3,3.0,120.0,-0.0,0.0,17.0,11.999974250793457,0.0,0.0,5.0,5.129379749298096
4,4.0,150.0,0.0,12750.0,17.0,16.91732406616211,-12750.0,0.0,5.0,5.920011520385742
5,5.0,180.0,0.0,22110.0,17.0,16.987979888916016,-22110.0,0.0,5.0,7.768243312835693
6,6.0,210.0,0.0,25530.0,17.0,16.99310874938965,-25530.0,0.0,5.0,9.514880180358887
7,7.0,240.0,0.0,22110.0,17.0,16.993167877197266,-22110.0,0.0,5.0,10.483936309814453
8,8.0,270.0,0.0,12750.0,17.0,16.98947525024414,-12750.0,0.0,5.0,10.862194061279297
9,9.0,300.0,0.0,0.0,17.0,16.918746948242188,-0.0,0.0,5.0,10.855931282043457
10,10.0,330.0,-12750.0,0.0,17.0,16.62932586669922,0.0,12750.0,5.0,5.0970869064331055
11,11.0,360.0,-22110.0,0.0,17.0,15.924402236938477,0.0,22110.0,5.0,5.013944625854492
12,12.0,390.0,-25530.0,0.0,17.0,14.923795700073242,0.0,25530.0,5.0,5.007957458496094
13,13.0,420.0,-22110.0,0.0,17.0,14.142743110656738,0.0,22110.0,5.0,5.007916450500488
14,14.0,450.0,-12750.0,0.0,17.0,13.762283325195312,0.0,12750.0,5.0,5.0122528076171875
15,15.0,480.0,-0.0,0.0,17.0,13.756128311157227,0.0,0.0,5.0,5.094023704528809
16,16.0,510.0,0.0,12750.0,17.0,16.94446563720703,-12750.0,0.0,5.0,5.46164608001709
17,17.0,540.0,0.0,22110.0,17.0,16.991323471069336,-22110.0,0.0,5.0,6.371168613433838
18,18.0,570.0,0.0,25530.0,17.0,16.994800567626953,-25530.0,0.0,5.0,7.685486793518066
19,19.0,600.0,0.0,22110.0,17.0,16.994735717773438,-22110.0,0.0,5.0,8.739908218383789
20,20.0,630.0,0.0,12750.0,17.0,16.991764068603516,-12750.0,0.0,5.0,9.264547348022461
21,21.0,660.0,0.0,0.0,17.0,16.935932159423828,-0.0,0.0,5.0,9.268529891967773
22,22.0,690.0,-12750.0,0.0,17.0,16.704015731811523,0.0,12750.0,5.0,5.07291316986084
23,23.0,720.0,-22110.0,0.0,17.0,16.14291763305664,0.0,22110.0,5.0,5.011270999908447
24,24.0,750.0,-25530.0,0.0,17.0,15.308267593383789,0.0,25530.0,5.0,5.006707191467285
25,25.0,780.0,-22110.0,0.0,17.0,14.61096477508545,0.0,22110.0,5.0,5.006777763366699
26,26.0,810.0,-12750.0,0.0,17.0,14.251161575317383,0.0,12750.0,5.0,5.010592937469482
27,27.0,840.0,-0.0,0.0,17.0,14.245302200317383,0.0,0.0,5.0,5.08172082901001
28,28.0,870.0,0.0,12750.0,17.0,16.95248794555664,-12750.0,0.0,5.0,5.394253253936768
29,29.0,900.0,0.0,22110.0,17.0,16.992427825927734,-22110.0,0.0,5.0,6.1514482498168945
30,30.0,930.0,0.0,25530.0,17.0,16.995403289794922,-25530.0,0.0,5.0,7.278311729431152
31,31.0,960.0,0.0,22110.0,17.0,16.995311737060547,-22110.0,0.0,5.0,8.22648811340332
32,32.0,990.0,0.0,12750.0,17.0,16.992626190185547,-12750.0,0.0,5.0,8.719009399414062
33,33.0,1020.0,-0.0,0.0,17.0,16.94245719909668,0.0,0.0,5.0,8.724786758422852
34,34.0,1050.0,-12750.0,0.0,17.0,16.734188079833984,0.0,12750.0,5.0,5.064242362976074
35,35.0,1080.0,-22110.0,0.0,17.0,16.233381271362305,0.0,22110.0,5.0,5.010199069976807
36,36.0,1110.0,-25530.0,0.0,17.0,15.479621887207031,0.0,25530.0,5.0,5.006161689758301
37,37.0,1140.0,-22110.0,0.0,17.0,14.836069107055664,0.0,22110.0,5.0,5.006260871887207
38,38.0,1170.0,-12750.0,0.0,17.0,14.4970121383667,0.0,12750.0,5.0,5.009819507598877
39,39.0,1200.0,-0.0,0.0,17.0,14.490923881530762,0.0,0.0,5.0,5.0759100914001465
40,40.0,1230.0,0.0,12750.0,17.0,16.95651626586914,-12750.0,0.0,5.0,5.3626251220703125
41,41.0,1260.0,0.0,22110.0,17.0,16.992977142333984,-22110.0,0.0,5.0,6.049264907836914
42,42.0,1290.0,0.0,25530.0,17.0,16.995702743530273,-25530.0,0.0,5.0,7.07940673828125
43,43.0,1320.0,0.0,22110.0,17.0,16.995603561401367,-22110.0,0.0,5.0,7.9608917236328125
44,44.0,1350.0,0.0,12750.0,17.0,16.99307632446289,-12750.0,0.0,5.0,8.426548957824707
45,45.0,1380.0,-0.0,0.0,17.0,16.945880889892578,0.0,0.0,5.0,8.433250427246094
46,46.0,1410.0,-12750.0,0.0,17.0,16.750545501708984,0.0,12750.0,5.0,5.05954647064209
47,47.0,1440.0,-22110.0,0.0,17.0,16.283992767333984,0.0,22110.0,5.0,5.0096025466918945
48,48.0,1470.0,-25530.0,0.0,17.0,15.579048156738281,0.0,25530.0,5.0,5.0058488845825195
49,49.0,1500.0,-22110.0,0.0,17.0,14.971240043640137,0.0,22110.0,5.0,5.005959510803223
50,50.0,1530.0,-12750.0,0.0,17.0,14.64770793914795,0.0,12750.0,5.0,5.009360313415527
51,51.0,1560.0,-0.0,0.0,17.0,14.641390800476074,0.0,0.0,5.0,5.072426795959473
52,52.0,1590.0,0.0,12750.0,17.0,16.958988189697266,-12750.0,0.0,5.0,5.343873023986816
53,53.0,1620.0,0.0,22110.0,17.0,16.993314743041992,-22110.0,0.0,5.0,5.988558769226074
54,54.0,1650.0,0.0,25530.0,17.0,16.99588966369629,-25530.0,0.0,5.0,6.958512783050537
55,55.0,1680.0,0.0,22110.0,17.0,16.99578857421875,-22110.0,0.0,5.0,7.795172691345215
56,56.0,1710.0,0.0,12750.0,17.0,16.99336051940918,-12750.0,0.0,5.0,8.240984916687012
57,57.0,1740.0,0.0,0.0,17.0,16.948070526123047,-0.0,0.0,5.0,8.248217582702637
58,58.0,1770.0,-12750.0,0.0,17.0,16.761072158813477,0.0,12750.0,5.0,5.056543827056885
59,59.0,1800.0,-22110.0,0.0,17.0,16.316883087158203,0.0,22110.0,5.0,5.009211540222168
60,60.0,1830.0,-25530.0,0.0,17.0,15.644818305969238,0.0,25530.0,5.0,5.005639553070068
