,Period,Day,W0_V_out,W0_V_in,W0_T_set_inj,W0_T_mf_out,W1_V_out,W1_V_in,W1_T_set_inj,W1_T_mf_out
0,0.0,30.0,-66990.0,0.0,16.0,11.999947547912598,0.0,66990.0,8.0,8.002997398376465
1,1.0,60.0,-58020.0,0.0,16.0,11.999950408935547,0.0,58020.0,8.0,8.002614974975586
2,2.0,90.0,-33480.0,0.0,16.0,11.99996566772461,0.0,33480.0,8.0,8.003998756408691
3,3.0,120.0,-0.0,0.0,16.0,11.999966621398926,0.0,0.0,8.0,8.060196876525879
4,4.0,150.0,0.0,33480.0,16.0,15.988670349121094,-33480.0,0.0,8.0,8.309416770935059
5,5.0,180.0,0.0,58020.0,16.0,15.997246742248535,-58020.0,0.0,8.0,9.27114200592041
6,6.0,210.0,0.0,66990.0,16.0,15.997833251953125,-66990.0,0.0,8.0,10.476253509521484
7,7.0,240.0,0.0,58020.0,16.0,15.997714042663574,-58020.0,0.0,8.0,11.166775703430176
8,8.0,270.0,0.0,33480.0,16.0,15.996444702148438,-33480.0,0.0,8.0,11.421717643737793
9,9.0,300.0,0.0,0.0,16.0,15.946022033691406,-0.0,0.0,8.0,11.417326927185059
10,10.0,330.0,-33480.0,0.0,16.0,15.805296897888184,0.0,33480.0,8.0,8.009543418884277
11,11.0,360.0,-58020.0,0.0,16.0,15.431171417236328,0.0,58020.0,8.0,8.002273559570312
12,12.0,390.0,-66990.0,0.0,16.0,14.638598442077637,0.0,66990.0,8.0,8.00180721282959
13,13.0,420.0,-58020.0,0.0,16.0,13.891716003417969,0.0,58020.0,8.0,8.001931190490723
14,14.0,450.0,-33480.0,0.0,16.0,13.510100364685059,0.0,33480.0,8.0,8.003037452697754
15,15.0,480.0,-0.0,0.0,16.0,13.505572319030762,0.0,0.0,8.0,8.046147346496582
16,16.0,510.0,0.0,33480.0,16.0,15.992344856262207,-33480.0,0.0,8.0,8.174408912658691
17,17.0,540.0,0.0,58020.0,16.0,15.997941017150879,-58020.0,0.0,8.0,8.522358894348145
18,18.0,570.0,0.0,66990.0,16.0,15.998336791992188,-66990.0,0.0,8.0,9.26659870147705
19,19.0,600.0,0.0,58020.0,16.0,15.998208045959473,-58020.0,0.0,8.0,9.985005378723145
20,20.0,630.0,0.0,33480.0,16.0,15.997164726257324,-33480.0,0.0,8.0,10.36003589630127
21,21.0,660.0,0.0,0.0,16.0,15.956581115722656,-0.0,0.0,8.0,10.362826347351074
22,22.0,690.0,-33480.0,0.0,16.0,15.84064769744873,0.0,33480.0,8.0,8.007225036621094
23,23.0,720.0,-58020.0,0.0,16.0,15.548282623291016,0.0,58020.0,8.0,8.001935005187988
